# Command: for N in 25000 50000 100000 200000 400000; do SLATE_WA_NOPS=$N ./target/release/wa_study_paper > /tmp/conv_$N.csv; done  (binary built by: cargo build --release -p slate-kv-sim --bin wa_study_paper)
# Steady-state convergence check: does wa_steady depend on run length? Aggregated over seeds {1,2,3} at fixed capacity cap_ref_segs=64, seg_recs=64.
# Largest |relative change| from n_ops=200000 to 400000 across all 80 (u,s,arm) configs is reported in the task output; it is well under 1%.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. Pure in-process GC model - not the SLATE engine, no flash backend.
n_ops,u_target,s,gc_type,wa_steady_mean,wa_steady_std,realized_u,n_seeds
200000,0.8,0.0,hot_cold_net,2.8973,0.00274,0.7877,3
400000,0.8,0.0,hot_cold_net,2.895,0.00207,0.7877,3
25000,0.9,0.0,hot_cold_net,6.2187,0.07145,0.8861,3
50000,0.9,0.0,hot_cold_net,6.2037,0.02517,0.8861,3
100000,0.9,0.0,hot_cold_net,6.2347,0.01561,0.8861,3
200000,0.9,0.0,hot_cold_net,6.2228,0.0082,0.8861,3
400000,0.9,0.0,hot_cold_net,6.2169,0.00895,0.8861,3
25000,0.5,0.6,hot_cold_net,1.3562,0.00319,0.4923,3
50000,0.5,0.6,hot_cold_net,1.3572,0.00307,0.4923,3
100000,0.5,0.6,hot_cold_net,1.3586,0.00334,0.4923,3
200000,0.5,0.6,hot_cold_net,1.3584,0.00091,0.4923,3
400000,0.5,0.6,hot_cold_net,1.359,0.00147,0.4923,3
25000,0.6,0.6,hot_cold_net,1.6204,0.00577,0.5909,3
50000,0.6,0.6,hot_cold_net,1.6122,0.00522,0.5909,3
100000,0.6,0.6,hot_cold_net,1.6182,0.00564,0.5909,3
200000,0.6,0.6,hot_cold_net,1.6177,0.00265,0.5909,3
400000,0.6,0.6,hot_cold_net,1.6174,0.00196,0.5909,3
25000,0.7,0.6,hot_cold_net,2.0648,0.00956,0.6892,3
50000,0.7,0.6,hot_cold_net,2.0661,0.00576,0.6892,3
100000,0.7,0.6,hot_cold_net,2.0629,0.00246,0.6892,3
200000,0.7,0.6,hot_cold_net,2.0644,0.00168,0.6892,3
400000,0.7,0.6,hot_cold_net,2.0645,0.00121,0.6892,3
25000,0.8,0.6,hot_cold_net,3.0086,0.02544,0.7877,3
50000,0.8,0.6,hot_cold_net,3.0224,0.00447,0.7877,3
100000,0.8,0.6,hot_cold_net,3.0203,0.00778,0.7877,3
200000,0.8,0.6,hot_cold_net,3.0181,0.00378,0.7877,3
400000,0.8,0.6,hot_cold_net,3.0166,0.00522,0.7877,3
25000,0.9,0.6,hot_cold_net,6.3521,0.00762,0.8861,3
50000,0.9,0.6,hot_cold_net,6.318,0.02514,0.8861,3
100000,0.9,0.6,hot_cold_net,6.3436,0.01407,0.8861,3
200000,0.9,0.6,hot_cold_net,6.3224,0.00792,0.8861,3
400000,0.9,0.6,hot_cold_net,6.3199,0.00923,0.8861,3
25000,0.5,0.9,hot_cold_net,1.417,0.00793,0.4923,3
50000,0.5,0.9,hot_cold_net,1.4183,0.00508,0.4923,3
100000,0.5,0.9,hot_cold_net,1.418,0.00145,0.4923,3
200000,0.5,0.9,hot_cold_net,1.4155,0.00112,0.4923,3
400000,0.5,0.9,hot_cold_net,1.4174,0.00159,0.4923,3
25000,0.6,0.9,hot_cold_net,1.6765,0.00147,0.5909,3
50000,0.6,0.9,hot_cold_net,1.6768,0.00387,0.5909,3
100000,0.6,0.9,hot_cold_net,1.6768,0.00253,0.5909,3
200000,0.6,0.9,hot_cold_net,1.6774,0.0016,0.5909,3
400000,0.6,0.9,hot_cold_net,1.6778,0.00111,0.5909,3
25000,0.7,0.9,hot_cold_net,2.1356,0.01084,0.6892,3
50000,0.7,0.9,hot_cold_net,2.1355,0.00615,0.6892,3
100000,0.7,0.9,hot_cold_net,2.1312,0.00666,0.6892,3
200000,0.7,0.9,hot_cold_net,2.136,0.00181,0.6892,3
400000,0.7,0.9,hot_cold_net,2.1336,0.0019,0.6892,3
25000,0.8,0.9,hot_cold_net,3.0445,0.01286,0.7877,3
50000,0.8,0.9,hot_cold_net,3.0727,0.02123,0.7877,3
100000,0.8,0.9,hot_cold_net,3.0574,0.00693,0.7877,3
200000,0.8,0.9,hot_cold_net,3.0643,0.00467,0.7877,3
400000,0.8,0.9,hot_cold_net,3.0639,0.00532,0.7877,3
25000,0.9,0.9,hot_cold_net,5.7034,0.01031,0.8861,3
50000,0.9,0.9,hot_cold_net,5.6696,0.04059,0.8861,3
100000,0.9,0.9,hot_cold_net,5.6942,0.00599,0.8861,3
200000,0.9,0.9,hot_cold_net,5.7147,0.0063,0.8861,3
400000,0.9,0.9,hot_cold_net,5.6986,0.00453,0.8861,3
25000,0.5,1.2,hot_cold_net,1.4147,0.00156,0.4923,3
50000,0.5,1.2,hot_cold_net,1.4628,0.00169,0.4923,3
100000,0.5,1.2,hot_cold_net,1.4549,0.00372,0.4923,3
200000,0.5,1.2,hot_cold_net,1.4543,0.00467,0.4923,3
400000,0.5,1.2,hot_cold_net,1.4561,0.00129,0.4923,3
25000,0.6,1.2,hot_cold_net,1.6578,0.00947,0.5909,3
50000,0.6,1.2,hot_cold_net,1.7077,0.00394,0.5909,3
100000,0.6,1.2,hot_cold_net,1.7013,0.00612,0.5909,3
200000,0.6,1.2,hot_cold_net,1.7025,0.00374,0.5909,3
400000,0.6,1.2,hot_cold_net,1.7022,0.0017,0.5909,3
25000,0.7,1.2,hot_cold_net,1.9728,0.01473,0.6892,3
50000,0.7,1.2,hot_cold_net,2.0113,0.00461,0.6892,3
100000,0.7,1.2,hot_cold_net,2.0091,0.00082,0.6892,3
200000,0.7,1.2,hot_cold_net,2.0043,0.00542,0.6892,3
400000,0.7,1.2,hot_cold_net,2.0016,0.00478,0.6892,3
25000,0.8,1.2,hot_cold_net,2.4913,0.013,0.7877,3
50000,0.8,1.2,hot_cold_net,2.5036,0.0142,0.7877,3
100000,0.8,1.2,hot_cold_net,2.4994,0.00279,0.7877,3
200000,0.8,1.2,hot_cold_net,2.4967,0.00236,0.7877,3
400000,0.8,1.2,hot_cold_net,2.4955,0.0048,0.7877,3
25000,0.9,1.2,hot_cold_net,3.9611,0.03704,0.8861,3
50000,0.9,1.2,hot_cold_net,3.9594,0.01847,0.8861,3
100000,0.9,1.2,hot_cold_net,3.9747,0.01214,0.8861,3
200000,0.9,1.2,hot_cold_net,3.9707,0.01858,0.8861,3
400000,0.9,1.2,hot_cold_net,3.9613,0.00416,0.8861,3
25000,0.5,0.0,single,1.2802,0.00245,0.5,3
50000,0.5,0.0,single,1.2794,0.00057,0.5,3
100000,0.5,0.0,single,1.2835,0.00204,0.5,3
200000,0.5,0.0,single,1.2803,0.00072,0.5,3
400000,0.5,0.0,single,1.2803,0.00091,0.5,3
25000,0.6,0.0,single,1.5336,0.00919,0.6001,3
50000,0.6,0.0,single,1.5377,0.001,0.6001,3
100000,0.6,0.0,single,1.5353,0.00186,0.6001,3
200000,0.6,0.0,single,1.536,0.00181,0.6001,3
400000,0.6,0.0,single,1.5354,0.00104,0.6001,3
25000,0.7,0.0,single,1.9966,0.00879,0.7,3
50000,0.7,0.0,single,2.0034,0.00145,0.7,3
100000,0.7,0.0,single,2.0077,0.00435,0.7,3
200000,0.7,0.0,single,2.0077,0.00214,0.7,3
400000,0.7,0.0,single,2.0059,0.00091,0.7,3
25000,0.8,0.0,single,3.0586,0.0122,0.8,3
50000,0.8,0.0,single,3.0692,0.00435,0.8,3
100000,0.8,0.0,single,3.0705,0.01101,0.8,3
200000,0.8,0.0,single,3.0654,0.00307,0.8,3
400000,0.8,0.0,single,3.0737,0.00319,0.8,3
25000,0.9,0.0,single,7.3225,0.01385,0.8999,3
50000,0.9,0.0,single,7.3354,0.04624,0.8999,3
100000,0.9,0.0,single,7.3507,0.04371,0.8999,3
200000,0.9,0.0,single,7.3325,0.02111,0.8999,3
400000,0.9,0.0,single,7.3204,0.00754,0.8999,3
25000,0.5,0.6,single,1.3858,0.0022,0.5,3
50000,0.5,0.6,single,1.3864,0.00441,0.5,3
100000,0.5,0.6,single,1.3889,0.00276,0.5,3
200000,0.5,0.6,single,1.3879,0.00083,0.5,3
400000,0.5,0.6,single,1.3877,0.0004,0.5,3
25000,0.6,0.6,single,1.6583,0.00149,0.6001,3
50000,0.6,0.6,single,1.6551,0.00469,0.6001,3
100000,0.6,0.6,single,1.6557,0.0018,0.6001,3
200000,0.6,0.6,single,1.6571,0.00111,0.6001,3
400000,0.6,0.6,single,1.6579,0.00243,0.6001,3
