# Command: cargo run --release -p slate-kv-sim --bin wa_study_paper --capacity-sweep > docs/porposal/data/wa_study_matched.csv
# Capacity-sensitivity sweep: cap_ref_segs in {16,24,35,48,64,96,128} x u_target {0.5..0.9} x s {0.0,0.6,0.9,1.2} x 4 arms x seeds {1,2,3} = 1680 rows.
# Purpose: separate the utilisation effect from the CAPACITY effect. The original harness varied both together (its cap_segs fell 63->35 as u went 0.5->0.9).
# cap_ref_segs=35 reproduces the original harness's u=0.9 operating point and is where its 1/(1-u) bound violations live.
# Columns identical to wa_study.csv. FILTER degenerate==true BEFORE USE: at cap<=24 (and cap=35 for the 2-head arms) GC starves and WA is meaningless.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. PURE IN-PROCESS GC MODEL - no flash backend (not FileFlash, not SimFlash), not the SLATE engine.
# Model limits: no RS(12,8) parity, no commit markers, no checkpoints, no encryption. rs_parity_factor=(RS_K+RS_M)/RS_K=1.5000 from crates/slate-kv-erasure/src/lib.rs (RS_K=8, RS_M=4, RS_N=12); column wa_steady_with_rs_parity = wa_steady*1.5.
u_target,s,gc_type,seed,capacity_matched,cap_ref_segs,cap_segs,cap_records,net_records,n_keys,live_keys,realized_u,realized_u_net,wa_all,wa_steady,bound_1_over_1_minus_u,bound_ok,bound_excess_pct,bound_net,bound_net_ok,wa_steady_with_rs_parity,degenerate,victim_live_frac,gc_calls,victims,guard_hits,starves
0.70,0.6,hot_cold,3,gross,16,16,1024,832,717,717,0.7002,0.8618,3.3673,3.3666,3.3355,false,0.93,7.2348,true,5.0500,false,0.7033,1561,5259,0,0
0.70,0.6,hot_cold_net,1,net,16,17,1088,896,717,717,0.6590,0.8002,2.5685,2.5821,2.9326,true,-11.95,5.0056,true,3.8731,false,0.6112,1560,4010,0,0
0.70,0.6,hot_cold_net,2,net,16,17,1088,896,717,717,0.6590,0.8002,2.5800,2.5849,2.9326,true,-11.86,5.0056,true,3.8773,false,0.6129,1560,4028,0,0
0.70,0.6,hot_cold_net,3,net,16,17,1088,896,717,717,0.6590,0.8002,2.5769,2.5875,2.9326,true,-11.77,5.0056,true,3.8812,false,0.6123,1561,4024,0,0
0.70,0.6,hot_cold_extra2,1,none,16,18,1152,960,717,717,0.6224,0.7469,2.1525,2.1558,2.6483,true,-18.60,3.9506,true,3.2337,false,0.5359,1560,3360,0,0
0.70,0.6,hot_cold_extra2,2,none,16,18,1152,960,717,717,0.6224,0.7469,2.1558,2.1558,2.6483,true,-18.59,3.9506,true,3.2338,false,0.5368,1559,3364,0,0
0.70,0.6,hot_cold_extra2,3,none,16,18,1152,960,717,717,0.6224,0.7469,2.1545,2.1545,2.6483,true,-18.65,3.9506,true,3.2317,false,0.5365,1559,3362,0,0
0.80,0.6,single,1,reference,16,16,1024,896,819,819,0.7998,0.9141,9.5938,9.6361,4.9951,false,92.91,11.6364,true,14.4542,false,0.8958,1524,14989,0,0
0.80,0.6,single,2,reference,16,16,1024,896,819,819,0.7998,0.9141,9.5660,9.6123,4.9951,false,92.43,11.6364,true,14.4185,false,0.8956,1523,14945,0,0
0.80,0.6,single,3,reference,16,16,1024,896,819,819,0.7998,0.9141,9.5821,9.6183,4.9951,false,92.55,11.6364,true,14.4275,false,0.8958,1523,14970,0,0
0.80,0.6,hot_cold,1,gross,16,16,1024,832,819,819,0.7998,0.9844,30.6902,30.3581,4.9951,false,507.75,64.0000,true,45.5371,true,0.9674,2068,47953,506,0
0.80,0.6,hot_cold,2,gross,16,16,1024,832,819,819,0.7998,0.9844,32.1827,32.5853,4.9951,false,552.34,64.0000,true,48.8779,true,0.9689,2102,50285,542,0
0.80,0.6,hot_cold,3,gross,16,16,1024,832,819,819,0.7998,0.9844,31.9254,32.4982,4.9951,false,550.60,64.0000,true,48.7474,true,0.9687,2096,49883,536,0
0.80,0.6,hot_cold_net,1,net,16,17,1088,896,819,819,0.7528,0.9141,4.8559,4.9143,4.0446,false,21.50,11.6364,true,7.3714,false,0.7942,1562,7586,0,0
0.80,0.6,hot_cold_net,2,net,16,17,1088,896,819,819,0.7528,0.9141,4.9097,4.8923,4.0446,false,20.96,11.6364,true,7.3385,false,0.7965,1562,7670,0,0
0.80,0.6,hot_cold_net,3,net,16,17,1088,896,819,819,0.7528,0.9141,4.9315,4.9552,4.0446,false,22.51,11.6364,true,7.4328,false,0.7974,1562,7704,0,0
0.80,0.6,hot_cold_extra2,1,none,16,18,1152,960,819,819,0.7109,0.8531,3.2579,3.2465,3.4595,true,-6.16,6.8085,true,4.8697,false,0.6934,1561,5088,0,0
0.80,0.6,hot_cold_extra2,2,none,16,18,1152,960,819,819,0.7109,0.8531,3.2508,3.2603,3.4595,true,-5.76,6.8085,true,4.8904,false,0.6927,1561,5077,0,0
0.80,0.6,hot_cold_extra2,3,none,16,18,1152,960,819,819,0.7109,0.8531,3.2572,3.2439,3.4595,true,-6.23,6.8085,true,4.8658,false,0.6933,1561,5087,0,0
0.90,0.6,single,1,reference,16,16,1024,896,922,922,0.9004,1.0290,604.7459,NaN,10.0392,false,NaN,-34.4615,false,NaN,true,0.9073,199548,201816,36,399024
0.90,0.6,single,2,reference,16,16,1024,896,922,922,0.9004,1.0290,415.1076,NaN,10.0392,false,NaN,-34.4615,false,NaN,true,0.8608,199400,201416,32,398736
0.90,0.6,single,3,reference,16,16,1024,896,922,922,0.9004,1.0290,298.2618,NaN,10.0392,false,NaN,-34.4615,false,NaN,true,0.8913,199470,200730,20,398900
0.90,0.6,hot_cold,1,gross,16,16,1024,832,922,922,0.9004,1.1082,121.4706,NaN,10.0392,false,NaN,-9.2444,false,NaN,true,0.2867,199889,205685,92,399592
0.90,0.6,hot_cold,2,gross,16,16,1024,832,922,922,0.9004,1.1082,121.4706,NaN,10.0392,false,NaN,-9.2444,false,NaN,true,0.3474,199889,205685,92,399592
0.90,0.6,hot_cold,3,gross,16,16,1024,832,922,922,0.9004,1.1082,121.4706,NaN,10.0392,false,NaN,-9.2444,false,NaN,true,0.3322,199889,205685,92,399592
0.90,0.6,hot_cold_net,1,net,16,17,1088,896,922,922,0.8474,1.0290,68.0660,67.9786,6.5542,false,937.17,-34.4615,false,101.9680,true,0.9855,1590,108053,1589,0
0.90,0.6,hot_cold_net,2,net,16,17,1088,896,922,922,0.8474,1.0290,68.0659,67.9785,6.5542,false,937.17,-34.4615,false,101.9677,true,0.9855,1590,108053,1589,0
0.90,0.6,hot_cold_net,3,net,16,17,1088,896,922,922,0.8474,1.0290,68.0659,67.9785,6.5542,false,937.17,-34.4615,false,101.9677,true,0.9855,1590,108053,1589,0
0.90,0.6,hot_cold_extra2,1,none,16,18,1152,960,922,922,0.8003,0.9604,17.2061,17.1639,5.0087,false,242.68,25.2632,true,25.7459,true,0.9419,1789,26883,227,0
0.90,0.6,hot_cold_extra2,2,none,16,18,1152,960,922,922,0.8003,0.9604,17.0943,17.2540,5.0087,false,244.48,25.2632,true,25.8809,true,0.9415,1786,26709,224,0
0.90,0.6,hot_cold_extra2,3,none,16,18,1152,960,922,922,0.8003,0.9604,18.1241,18.0335,5.0087,false,260.04,25.2632,true,27.0502,true,0.9449,1810,28318,248,0
